epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5372.28,2.0716,1.83966,2.43603,0.87194,0.92869,0.94863,0.76991,1.36152,0.96308,1.99596,0.000799454,0.000799454,0.000799454
91,5430.74,2.08344,1.84222,2.42598,0.90504,0.91773,0.95933,0.77131,1.39366,0.93831,2.00817,0.00079238,0.00079238,0.00079238
92,5488.73,2.04755,1.83823,2.42939,0.89864,0.91884,0.94767,0.76,1.38147,0.90767,2.02043,0.000785307,0.000785307,0.000785307
93,5548.99,2.01207,1.7601,2.4047,0.88994,0.93045,0.93948,0.75635,1.34245,0.95846,1.99512,0.000778233,0.000778233,0.000778233
94,5607.56,2.02023,1.83123,2.40637,0.88815,0.92543,0.95358,0.75206,1.40302,0.93511,2.04789,0.00077116,0.00077116,0.00077116
95,5665.71,2.02616,1.81759,2.41106,0.86985,0.95519,0.95634,0.77031,1.34167,0.93395,1.99236,0.000764086,0.000764086,0.000764086
96,5723.99,2.02428,1.79438,2.40016,0.89951,0.92955,0.95755,0.77043,1.39174,0.95144,2.01769,0.000757013,0.000757013,0.000757013
97,5778.23,2.00482,1.78835,2.38917,0.84168,0.91946,0.92986,0.74152,1.36074,1.0413,2.03902,0.000749939,0.000749939,0.000749939
98,5838.13,1.98823,1.75662,2.38189,0.86919,0.93575,0.94588,0.76045,1.36149,0.90419,2.01758,0.000742866,0.000742866,0.000742866
99,5898.01,2.01079,1.7547,2.39224,0.85515,0.91884,0.94207,0.75044,1.38091,0.98548,2.03338,0.000735792,0.000735792,0.000735792
100,5959.33,1.98054,1.75959,2.36858,0.86683,0.91401,0.93291,0.75689,1.33092,0.98787,1.99268,0.000728719,0.000728719,0.000728719
101,6019.34,1.96841,1.73637,2.36165,0.88165,0.9229,0.94674,0.7691,1.34636,0.98263,2.00158,0.000721645,0.000721645,0.000721645
102,6077.1,1.98531,1.74102,2.3691,0.86106,0.92706,0.93895,0.75818,1.37518,0.93096,2.02282,0.000714571,0.000714571,0.000714571
103,6134.8,1.98747,1.7747,2.37391,0.89866,0.93371,0.94798,0.76704,1.35716,0.89294,2.01052,0.000707498,0.000707498,0.000707498
104,6196.98,1.95322,1.76201,2.36823,0.91638,0.91437,0.94744,0.76389,1.38677,0.90242,2.00172,0.000700424,0.000700424,0.000700424
105,6257.3,1.99084,1.73079,2.37777,0.87078,0.92775,0.95048,0.77344,1.3713,0.87333,2.01082,0.000693351,0.000693351,0.000693351
106,6316.44,1.95891,1.72457,2.36756,0.8961,0.9101,0.94902,0.77242,1.36473,0.93378,2.01121,0.000686277,0.000686277,0.000686277
107,6374.79,1.95276,1.71197,2.36669,0.92304,0.92537,0.9555,0.77776,1.35324,0.90726,1.98147,0.000679204,0.000679204,0.000679204
